sample,condition,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
GSM475668,brioche,6.27477393864452,5.60434637628581,7.87728816987034,8.05281028274875,6.11665506221373,7.18037622392868,7.35072050680849,6.33790949060051,6.04871508480817,5.85972678108359,6.91024211528145,5.30426202910151
GSM475669,non-tumor,6.07977322156204,4.20370235224474,7.6465643949064,8.73449142792049,7.44001886885572,5.71224480781837,7.68836642980932,8.16531532782126,7.17068937511606,5.53681120969989,5.15771325246192,5.79187348657094
GSM475670,brioche,5.543281834495,4.70980415123902,10.111016013785,7.9691976818866,5.96364028682591,6.17863595057025,7.81199293910207,6.66190372464699,5.9607544779148,4.66644003926299,5.18909054148162,5.51522478953289
GSM475671,non-tumor,5.37639407675172,4.07164804980304,7.2907456036942,9.14221248000064,7.87320987962448,6.50990275167119,7.96062003389518,7.77931239505786,7.45813963091067,5.8032628498989,5.41792300249179,5.81502830255281
GSM475672,brioche,6.56462039555187,5.21278610727773,6.89706691157829,8.47896815085727,6.35667298123395,6.677397057928,7.87799305856395,7.50432645507486,7.16599945816124,4.6188725578607,5.29920942183321,5.50182890937442
GSM475673,non-tumor,6.93077277759015,4.37353934681449,8.17991060512321,8.7727480909848,7.33497136840064,5.54188388880921,6.87985682943196,6.82064401787448,6.50580136598709,5.18073913966108,4.82128199714136,5.80151934746978
GSM475674,brioche,5.48916374783846,4.45798557669106,8.08971025130217,8.55449779104369,6.82880870001387,6.13608679659214,8.22292377797703,6.40407229308348,6.72772364269267,4.80075782169235,4.6378681619783,5.72871010706461
GSM475675,non-tumor,5.94073824838337,4.18671822859926,7.8037871485675,8.80436486026056,7.56788079274036,5.72937871038191,6.96090740887102,6.96378785649023,6.94718347844603,5.64815349207453,4.98217368645968,5.73435614893431
GSM475676,brioche,5.94773512536889,4.10164411814634,10.4362660607575,7.57917744790757,5.76475210575035,7.25443674743487,8.33432381454659,8.01731437805954,6.62904194542952,5.66139492671837,7.34279236039077,6.08041621498392
GSM475677,brioche,6.85443982291297,4.69652581771708,8.03154029739644,8.68971539229989,7.58885279473444,5.6517962741237,6.22689863907867,8.36915792704011,6.95141752876135,5.19191712926359,5.26127219101837,5.657942209314
