sample,condition,ARNTL,NPAS2,CLOCK,CRY1,CRY2,NR1D1,NR1D2,PER1,PER2,PER3,DBP,TEF
GSM813433,tumor,7.8143593125,7.263043415,8.702389219,8.712202551,9.752456748,6.914733823,7.347897502,7.969574976,8.243802055,8.24308184,7.682162065,8.612825586
GSM813434,tumor,7.4218869425,7.490635641,9.286822787,8.585251273,9.199196861,6.937595942,7.358815515,7.169242399,8.630957429,7.605435966,7.897025763,7.970548284
GSM813435,tumor,7.5895598515,7.216392151,8.813534375,8.976773594,9.804755987,6.985112622,7.504809074,7.313085492,8.345507458,9.049444071,7.798422124,8.937116953
GSM813436,tumor,7.407783276,8.334484369,8.835336061,8.465452533,9.579758477,7.02965255,7.6411667955,7.119298455,8.6359678105,8.775269198,7.958444916,8.57052237
GSM813437,tumor,7.6379353005,7.30549556,8.739810142,8.928162794,9.849944461,7.018898548,7.5713943495,7.483117322,8.4624519885,8.838127584,7.854839702,8.836664244
GSM813438,tumor,7.438505212,8.545619925,8.823286806,8.211455146,9.569649488,7.08102507,7.815810612,7.37785324,8.6645788685,8.599111783,8.104499073,9.29898872
GSM813439,tumor,7.593599304,7.319402278,7.941130287,8.933123101,9.822658983,7.002544474,7.325541162,7.408681243,8.2942204145,8.570027391,7.744642664,8.258630055
GSM813440,tumor,7.438638614,7.77534824,9.4204825,8.144258846,9.84845486,6.884903173,7.1310856165,7.458175034,8.473938091,8.527082077,7.943369377,8.821074153
GSM813441,tumor,7.336434519,7.028777245,7.39041375,8.697381017,10.15918191,7.272328261,7.382937202,7.365014763,8.4530961065,8.916481727,8.476035045,9.033738413
GSM813442,tumor,7.5910814765,7.553753905,8.4837249,8.3457891665,10.28835525,7.33995314,8.1479390955,7.865941053,8.743257581,10.12861142,9.614281817,10.08712257
GSM813443,tumor,7.519902263,7.102577608,8.720028703,8.4169669335,9.590328232,6.954323989,7.870458959,7.30429639,8.344189747,9.432101716,8.537839454,8.753819247
GSM813444,tumor,7.793589234,8.306853824,9.232798721,7.7526051,8.679011664,7.055429455,7.567463641,7.646475476,7.9375583615,7.618147815,7.524285887,8.177521089
GSM813445,tumor,7.509885816,7.279956193,8.984784161,8.7361710285,9.471797998,6.940195562,7.681307781,7.279999911,8.153570442,8.692077009,8.306214692,8.847815927
GSM813446,tumor,7.291242749,7.271906147,9.002151701,7.3317333165,9.392449267,6.874318919,7.3686323535,8.497226928,8.0927569755,8.222490149,8.54458567,8.850025819
GSM813447,tumor,7.601071449,7.221728878,7.775810234,8.50799355,9.304232366,7.080838591,7.500263941,7.20974805,8.1842065815,9.108573366,7.950183584,9.335688844
GSM813448,tumor,7.3042495155,7.460967416,8.450743359,7.9461310575,9.477397501,7.311950414,7.256459314,7.717202076,8.263897093,8.348626815,8.166786157,9.42134941
GSM813449,tumor,7.444133337,7.155873391,7.678257028,9.1642361695,9.636160387,6.955679466,7.904829005,7.568091373,8.3492053505,8.910122847,8.210695828,8.820358223
GSM813450,tumor,7.105212985,7.568017442,9.385022824,8.4341416945,9.330470557,7.026647373,7.9939500135,7.678250944,8.8354678825,8.283051457,8.483870437,8.403351898
GSM813451,tumor,7.776946414,7.428811645,8.496788531,8.927290904,9.491354873,7.048014496,7.392945264,7.097034459,8.096131719,8.346335266,8.019021009,8.624987256
GSM813452,tumor,7.3679103095,7.309064248,8.73390011,8.1693817095,9.229606367,6.98135689,7.7097809275,7.122552164,8.667419047,8.156158986,8.060447572,9.029060676
GSM813453,tumor,7.831968988,7.523454332,8.217653099,8.858577444,9.35043357,6.859938054,7.307173084,7.406888569,7.866603853,8.066085187,7.920919284,8.219664311
GSM813454,tumor,7.5289324205,7.489641696,8.172602605,8.0853946805,8.643672142,7.062472732,7.3638065165,7.045366289,8.204755405,7.838361899,7.374311604,8.071914988
GSM813455,tumor,7.9440725655,7.190249534,8.874283184,9.0293185565,9.607738707,7.067101332,7.2052206405,7.139432674,8.1805691565,7.988844657,7.949218989,8.507654117
GSM813456,tumor,7.432345018,7.440385042,8.831122096,8.1140343755,8.875236807,7.201067949,7.4796454315,7.07047522,7.782562832,7.982241682,8.398265503,7.960512015
GSM813457,tumor,7.942760017,7.815017909,8.585483882,8.869105643,9.236517569,6.944294303,7.241255862,7.466374189,8.0928929095,7.686172997,8.577756513,8.441146128
GSM813458,tumor,7.387602956,7.81761269,8.205098034,8.203093214,9.284169933,7.013958327,7.8924420005,7.408370755,8.561793421,8.937766189,9.014298627,9.265411775
GSM813459,tumor,7.8317213415,7.569563202,8.685627384,8.80997512,9.04616047,6.97723968,7.4635803085,7.079444153,7.9394576725,7.765082877,7.864365196,8.848710789
GSM813460,tumor,7.7681658915,7.896818427,9.95467453,8.494979021,10.01327851,7.088872614,7.271928152,7.273508629,9.176506411,9.235801658,7.799789759,7.962211317
GSM813461,tumor,7.6563919645,7.546072457,8.4967504,8.655372898,9.991428806,6.932493211,7.304755693,7.549959887,8.3279553825,8.753281799,8.13594145,9.374157081
GSM813462,tumor,7.663322769,7.694299779,8.091506692,8.199916753,8.942727088,6.925534732,6.994786352,7.228894964,8.019587764,7.322052692,7.399711843,8.089167036
GSM813463,tumor,7.417463295,7.098618732,8.329460406,8.6607646495,10.14940126,7.164049028,7.6239506645,7.633863958,8.4426085525,8.541801296,8.383693942,9.525842591
GSM813464,tumor,7.388233657,7.139796094,8.00513605,8.145180208,8.703649391,6.939967318,7.746445009,7.516893099,8.6169860255,7.196606322,7.501321063,8.21954222
GSM813465,tumor,7.546996483,7.161048331,7.789684425,9.1685074235,9.576380552,7.041095311,8.2089812725,7.228739853,8.3565205095,8.818334581,8.336390053,8.904618385
GSM813466,tumor,7.2841492395,8.88104567,8.975905612,8.259193223,10.15490952,6.984066783,7.5046177765,7.164941331,8.6982329145,9.363034313,7.974063922,8.893894821
GSM813467,tumor,7.233385913,7.107209094,8.285110897,9.3344483935,9.721955091,6.907950394,8.183500138,7.860724294,8.5293645635,8.895029085,8.0623136,8.807208584
